"id","vector","h","s","v"
"william-harrison","#411910","0.0306122448979592","0.753846153846154","0.254901960784314"
"ulysses-grant","#40150B","0.0314465408805031","0.828125","0.250980392156863"
"james-polk","#48261E","0.0317460317460317","0.583333333333333","0.282352941176471"
"james-buchanan","#48332E","0.0320512820512821","0.361111111111111","0.282352941176471"
"franklin-roosevelt","#561809","0.0324675324675325","0.895348837209302","0.337254901960784"
"john-adams","#59342B","0.0326086956521739","0.51685393258427","0.349019607843137"
"franklin-pierce","#4D2116","0.0333333333333333","0.714285714285714","0.301960784313725"
"woodrow-wilson","#22120E","0.0333333333333333","0.588235294117647","0.133333333333333"
"woodrow-wilson","#945444","0.0333333333333333","0.540540540540541","0.580392156862745"
"benjamin-harrison","#5C291C","0.0338541666666667","0.695652173913043","0.36078431372549"
"james-monroe","#8D4330","0.0340501792114695","0.659574468085106","0.552941176470588"
"woodrow-wilson","#91402B","0.0343137254901961","0.703448275862069","0.568627450980392"
"w-bush","#8E4D3C","0.0345528455284553","0.577464788732394","0.556862745098039"
"william-mckinley","#3A140A","0.0347222222222222","0.827586206896552","0.227450980392157"
"james-polk","#492319","0.0347222222222222","0.657534246575343","0.286274509803922"
"andrew-jackson","#180905","0.0350877192982456","0.791666666666667","0.0941176470588235"
"james-buchanan","#B34426","0.0354609929078014","0.787709497206704","0.701960784313725"
"calvin-coolidge","#1A0F0C","0.0357142857142857","0.538461538461538","0.101960784313725"
"martin-van-buren","#6A3E32","0.0357142857142857","0.528301886792453","0.415686274509804"
"grover-cleveland","#79301C","0.03584229390681","0.768595041322314","0.474509803921569"
"martin-van-buren","#4F322A","0.036036036036036","0.468354430379747","0.309803921568627"
"bill-clinton","#5C2D20","0.0361111111111111","0.652173913043478","0.36078431372549"
"john-tyler","#6E3120","0.0363247863247863","0.709090909090909","0.431372549019608"
"woodrow-wilson","#A55741","0.0366666666666667","0.606060606060606","0.647058823529412"
"james-monroe","#2F130B","0.037037037037037","0.765957446808511","0.184313725490196"
"william-harrison","#954C37","0.0372340425531915","0.630872483221476","0.584313725490196"
"zachary-taylor","#431D12","0.0374149659863946","0.73134328358209","0.262745098039216"
"woodrow-wilson","#7F4534","0.0377777777777778","0.590551181102362","0.498039215686275"
"millard-fillmore","#763623","0.0381526104417671","0.703389830508475","0.462745098039216"
"hw-bush","#552618","0.0382513661202186","0.717647058823529","0.333333333333333"
"thomas-jefferson","#1C0802","0.0384615384615385","0.928571428571429","0.109803921568627"
"james-monroe","#935441","0.0386178861788618","0.557823129251701","0.576470588235294"
"james-polk","#6F4E44","0.0387596899224806","0.387387387387387","0.435294117647059"
"martin-van-buren","#99543F","0.0388888888888889","0.588235294117647","0.6"
"w-bush","#653425","0.0390625","0.633663366336634","0.396078431372549"
"thomas-jefferson","#925441","0.0390946502057613","0.554794520547945","0.572549019607843"
"james-polk","#AB6D5A","0.0390946502057613","0.473684210526316","0.670588235294118"
"hw-bush","#683120","0.0393518518518519","0.692307692307692","0.407843137254902"
"jq-adams","#4C261A","0.04","0.657894736842105","0.298039215686275"
"grover-cleveland","#6B3220","0.04","0.700934579439252","0.419607843137255"
"franklin-pierce","#723623","0.040084388185654","0.692982456140351","0.447058823529412"
"john-adams","#C58672","0.0401606425702811","0.421319796954315","0.772549019607843"
"woodrow-wilson","#B96449","0.0401785714285714","0.605405405405405","0.725490196078431"
"thomas-jefferson","#995742","0.0402298850574713","0.568627450980392","0.6"
"richard-nixon","#652A17","0.0405982905982906","0.772277227722772","0.396078431372549"
"bill-clinton","#A6887E","0.0416666666666666","0.240963855421687","0.650980392156863"
"chester-arthur","#150601","0.0416666666666667","0.952380952380952","0.0823529411764706"
"james-garfield","#4B271B","0.0416666666666667","0.64","0.294117647058824"
"andrew-jackson","#1B120F","0.0416666666666667","0.444444444444444","0.105882352941176"
"abraham-lincoln","#6F3C2B","0.0416666666666667","0.612612612612613","0.435294117647059"
"george-washington","#7B422F","0.0416666666666667","0.617886178861789","0.482352941176471"
"william-taft","#765043","0.0424836601307189","0.432203389830508","0.462745098039216"
