"id","name","lastName","vector","rgb_color","hsv","h","s","v","Presidency","Wikipedia.Entry","year.took","year.left","Party","time"
"chester-arthur","Chester","Arthur","#923D20","146 61 32","0.0423976608187135 0.780821917808219 0.572549019607843","0.0423976608187135","0.780821917808219","0.572549019607843",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#462113","70 33 19","0.0457516339869281 0.728571428571429 0.274509803921569","0.0457516339869281","0.728571428571429","0.274509803921569",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#4A1603","74 22 3","0.0446009389671361 0.959459459459459 0.290196078431373","0.0446009389671361","0.959459459459459","0.290196078431373",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#411606","65 22 6 65 22 6","0.0451977401129944 0.907692307692308 0.254901960784314 0.0451977401129944 0.907692307692308 0.254901960784314","0.0451977401129944","0.907692307692308","0.254901960784314",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#C48862","196 136 98","0.064625850340136 0.5 0.768627450980392","0.064625850340136","0.5","0.768627450980392",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#5C3419","92 52 25","0.0671641791044776 0.728260869565217 0.36078431372549","0.0671641791044776","0.728260869565217","0.36078431372549",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#673A1D","103 58 29","0.0653153153153153 0.718446601941748 0.403921568627451","0.0653153153153153","0.718446601941748","0.403921568627451",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#502305","80 35 5","0.0666666666666667 0.9375 0.313725490196078","0.0666666666666667","0.9375","0.313725490196078",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#532C12","83 44 18","0.0666666666666667 0.783132530120482 0.325490196078431","0.0666666666666667","0.783132530120482","0.325490196078431",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#4F361F","79 54 31","0.0798611111111111 0.607594936708861 0.309803921568627","0.0798611111111111","0.607594936708861","0.309803921568627",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#634021","99 64 33","0.0782828282828283 0.666666666666667 0.388235294117647","0.0782828282828283","0.666666666666667","0.388235294117647",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#5A4027","90 64 39","0.0816993464052287 0.566666666666667 0.352941176470588","0.0816993464052287","0.566666666666667","0.352941176470588",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#8B6846","139 104 70","0.0821256038647343 0.496402877697842 0.545098039215686","0.0821256038647343","0.496402877697842","0.545098039215686",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#5B452F","91 69 47","0.0833333333333333 0.483516483516484 0.356862745098039","0.0833333333333333","0.483516483516484","0.356862745098039",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#634424","99 68 36","0.0846560846560847 0.636363636363636 0.388235294117647","0.0846560846560847","0.636363636363636","0.388235294117647",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"chester-arthur","Chester","Arthur","#664E30","102 78 48","0.0925925925925926 0.529411764705882 0.4","0.0925925925925926","0.529411764705882","0.4",21,"http://en.wikipedia.org/wiki/Chester_A._Arthur","1881","1885","Republican ","1881-1885"
"james-buchanan","James","Buchanan","#7A4F3E","122 79 62","0.0472222222222222 0.491803278688525 0.47843137254902","0.0472222222222222","0.491803278688525","0.47843137254902",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#55463F","85 70 63","0.0530303030303031 0.258823529411765 0.333333333333333","0.0530303030303031","0.258823529411765","0.333333333333333",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#F0C2A6","240 194 166","0.063063063063063 0.308333333333333 0.941176470588235","0.063063063063063","0.308333333333333","0.941176470588235",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#F5C2A4","245 194 164","0.0617283950617284 0.330612244897959 0.96078431372549","0.0617283950617284","0.330612244897959","0.96078431372549",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#AC8C78","172 140 120","0.0641025641025641 0.302325581395349 0.674509803921569","0.0641025641025641","0.302325581395349","0.674509803921569",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#A18776","161 135 118","0.0658914728682171 0.267080745341615 0.631372549019608","0.0658914728682171","0.267080745341615","0.631372549019608",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#ECD1BB","236 209 187","0.0748299319727891 0.207627118644068 0.925490196078431","0.0748299319727891","0.207627118644068","0.925490196078431",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#E8C1A3","232 193 163","0.072463768115942 0.297413793103448 0.909803921568627","0.072463768115942","0.297413793103448","0.909803921568627",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#FCEBCE","252 235 206","0.105072463768116 0.182539682539683 0.988235294117647","0.105072463768116","0.182539682539683","0.988235294117647",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#FEEECE","254 238 206","0.111111111111111 0.188976377952756 0.996078431372549","0.111111111111111","0.188976377952756","0.996078431372549",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
"james-buchanan","James","Buchanan","#777663","119 118 99","0.158333333333333 0.168067226890756 0.466666666666667","0.158333333333333","0.168067226890756","0.466666666666667",15,"http://en.wikipedia.org/wiki/James_Buchanan","1857","1861","Democratic ","1857-1861"
